voucher_no,line_no,posting_date,entry_time,account_code,account_name,debit,credit,department,supplier,prepared_by,approved_by,description
JV000008,3,2025-01-02,2025-01-02 13:50:59,2202,Accounts payable 应付账款,,5951.46,Production,Yongsheng Chemicals 永盛化工,prep02,appr03,Purchase of materials
JV000009,1,2025-01-02,2025-01-02 14:23:51,1122,Accounts receivable 应收账款,28497.10,,Sales,,prep01,appr02,Sales invoice
JV000009,2,2025-01-02,2025-01-02 14:23:51,6001,Sales revenue 主营业务收入,,25218.67,Sales,,prep01,appr02,Sales invoice
JV000009,3,2025-01-02,2025-01-02 14:23:51,222102,Output VAT 应交增值税-销项税额,,3278.43,Sales,,prep01,appr02,Sales invoice
JV000009,4,2025-01-02,2025-01-02 14:23:51,6401,Cost of sales 主营业务成本,14934.69,,Sales,,prep01,appr02,Sales invoice
JV000009,5,2025-01-02,2025-01-02 14:23:51,1405,Inventory 库存商品,,14934.69,Sales,,prep01,appr02,Sales invoice
JV000010,1,2025-01-02,2025-01-02 14:40:09,6602,Office supplies 办公费,676.66,,Admin,Huaxin Office Supplies 华信办公用品,prep03,appr01,Office supplies
JV000010,2,2025-01-02,2025-01-02 14:40:09,1002,Bank deposits 银行存款,,676.66,Admin,Huaxin Office Supplies 华信办公用品,prep03,appr01,Office supplies
JV000011,1,2025-01-02,2025-01-02 16:39:32,6601,Travel expense 差旅费,1487.05,,Finance,Jietu Travel Service 捷途旅行社,prep05,appr01,Business travel
JV000011,2,2025-01-02,2025-01-02 16:39:32,1002,Bank deposits 银行存款,,1487.05,Finance,Jietu Travel Service 捷途旅行社,prep05,appr01,Business travel
JV000012,1,2025-01-02,2025-01-02 16:56:05,1405,Inventory 库存商品,3835.91,,Production,Kangda Metals 康达金属,prep03,appr01,Purchase of materials
JV000012,2,2025-01-02,2025-01-02 16:56:05,222101,Input VAT 应交增值税-进项税额,498.67,,Production,Kangda Metals 康达金属,prep03,appr01,Purchase of materials
JV000012,3,2025-01-02,2025-01-02 16:56:05,2202,Accounts payable 应付账款,,4334.58,Production,Kangda Metals 康达金属,prep03,appr01,Purchase of materials
JV000013,1,2025-01-02,2025-01-02 17:20:46,1405,Inventory 库存商品,5470.76,,Production,Dingxin Steel 鼎鑫钢材,prep01,appr03,Purchase of materials
JV000013,2,2025-01-02,2025-01-02 17:20:46,222101,Input VAT 应交增值税-进项税额,711.20,,Production,Dingxin Steel 鼎鑫钢材,prep01,appr03,Purchase of materials
JV000013,3,2025-01-02,2025-01-02 17:20:46,2202,Accounts payable 应付账款,,6181.96,Production,Dingxin Steel 鼎鑫钢材,prep01,appr03,Purchase of materials
JV000014,1,2025-01-02,2025-01-02 17:47:47,6602,Office supplies 办公费,581.25,,Sales,Jiayi Printing 嘉艺印务,prep02,appr03,Office supplies
JV000014,2,2025-01-02,2025-01-02 17:47:47,1002,Bank deposits 银行存款,,581.25,Sales,Jiayi Printing 嘉艺印务,prep02,appr03,Office supplies
JV000015,1,2025-01-02,2025-01-02 18:24:07,6602,Office supplies 办公费,386.08,,Production,Jiayi Printing 嘉艺印务,prep02,appr03,Office supplies
JV000015,2,2025-01-02,2025-01-02 18:24:07,1002,Bank deposits 银行存款,,386.08,Production,Jiayi Printing 嘉艺印务,prep02,appr03,Office supplies
JV000016,1,2025-01-02,2025-01-02 18:29:16,1405,Inventory 库存商品,16472.45,,Production,Lianchuang Parts 联创配件,prep04,appr03,Purchase of materials
JV000016,2,2025-01-02,2025-01-02 18:29:16,222101,Input VAT 应交增值税-进项税额,2141.42,,Production,Lianchuang Parts 联创配件,prep04,appr03,Purchase of materials
JV000016,3,2025-01-02,2025-01-02 18:29:16,2202,Accounts payable 应付账款,,18613.87,Production,Lianchuang Parts 联创配件,prep04,appr03,Purchase of materials
JV000017,1,2025-01-02,2025-01-03 09:50:49,1405,Inventory 库存商品,9344.83,,Production,Baocheng Plastics 宝成塑料,prep02,appr02,Purchase of materials
JV000017,2,2025-01-02,2025-01-03 09:50:49,222101,Input VAT 应交增值税-进项税额,1214.83,,Production,Baocheng Plastics 宝成塑料,prep02,appr02,Purchase of materials
JV000017,3,2025-01-02,2025-01-03 09:50:49,2202,Accounts payable 应付账款,,10559.66,Production,Baocheng Plastics 宝成塑料,prep02,appr02,Purchase of materials
JV000018,1,2025-01-02,2025-01-03 10:52:41,1405,Inventory 库存商品,4346.02,,Production,Hongyu Electronics 鸿宇电子,prep04,appr01,Purchase of materials
JV000018,2,2025-01-02,2025-01-03 10:52:41,222101,Input VAT 应交增值税-进项税额,564.98,,Production,Hongyu Electronics 鸿宇电子,prep04,appr01,Purchase of materials
JV000018,3,2025-01-02,2025-01-03 10:52:41,2202,Accounts payable 应付账款,,4911.00,Production,Hongyu Electronics 鸿宇电子,prep04,appr01,Purchase of materials
JV000019,1,2025-01-02,2025-01-03 14:13:07,1122,Accounts receivable 应收账款,39242.97,,Sales,,prep05,appr01,Sales invoice
JV000019,2,2025-01-02,2025-01-03 14:13:07,6001,Sales revenue 主营业务收入,,34728.29,Sales,,prep05,appr01,Sales invoice
JV000019,3,2025-01-02,2025-01-03 14:13:07,222102,Output VAT 应交增值税-销项税额,,4514.68,Sales,,prep05,appr01,Sales invoice
JV000019,4,2025-01-02,2025-01-03 14:13:07,6401,Cost of sales 主营业务成本,20218.38,,Sales,,prep05,appr01,Sales invoice
JV000019,5,2025-01-02,2025-01-03 14:13:07,1405,Inventory 库存商品,,20218.38,Sales,,prep05,appr01,Sales invoice
JV000020,1,2025-01-02,2025-01-03 14:41:12,1405,Inventory 库存商品,5186.61,,Production,Baocheng Plastics 宝成塑料,prep05,appr02,Purchase of materials
JV000020,2,2025-01-02,2025-01-03 14:41:12,222101,Input VAT 应交增值税-进项税额,674.26,,Production,Baocheng Plastics 宝成塑料,prep05,appr02,Purchase of materials
JV000020,3,2025-01-02,2025-01-03 14:41:12,2202,Accounts payable 应付账款,,5860.87,Production,Baocheng Plastics 宝成塑料,prep05,appr02,Purchase of materials
JV000021,1,2025-01-02,2025-01-03 16:03:53,1405,Inventory 库存商品,210978.98,,Production,Baocheng Plastics 宝成塑料,prep05,appr03,Purchase of materials
JV000021,2,2025-01-02,2025-01-03 16:03:53,222101,Input VAT 应交增值税-进项税额,27427.27,,Production,Baocheng Plastics 宝成塑料,prep05,appr03,Purchase of materials
JV000021,3,2025-01-02,2025-01-03 16:03:53,2202,Accounts payable 应付账款,,238406.25,Production,Baocheng Plastics 宝成塑料,prep05,appr03,Purchase of materials
JV000022,1,2025-01-02,2025-01-06 13:29:15,6601,Travel expense 差旅费,2603.45,,Finance,Jietu Travel Service 捷途旅行社,prep03,appr03,Business travel
JV000022,2,2025-01-02,2025-01-06 13:29:15,1002,Bank deposits 银行存款,,2603.45,Finance,Jietu Travel Service 捷途旅行社,prep03,appr03,Business travel
JV000023,1,2025-01-03,2025-01-03 09:27:09,1405,Inventory 库存商品,11152.68,,Production,Baocheng Plastics 宝成塑料,prep03,appr03,Purchase of materials
JV000023,2,2025-01-03,2025-01-03 09:27:09,222101,Input VAT 应交增值税-进项税额,1449.85,,Production,Baocheng Plastics 宝成塑料,prep03,appr03,Purchase of materials
JV000023,3,2025-01-03,2025-01-03 09:27:09,2202,Accounts payable 应付账款,,12602.53,Production,Baocheng Plastics 宝成塑料,prep03,appr03,Purchase of materials
JV000024,1,2025-01-03,2025-01-03 09:34:02,1405,Inventory 库存商品,7061.49,,Production,Lianchuang Parts 联创配件,prep05,appr01,Purchase of materials
JV000024,2,2025-01-03,2025-01-03 09:34:02,222101,Input VAT 应交增值税-进项税额,917.99,,Production,Lianchuang Parts 联创配件,prep05,appr01,Purchase of materials
JV000024,3,2025-01-03,2025-01-03 09:34:02,2202,Accounts payable 应付账款,,7979.48,Production,Lianchuang Parts 联创配件,prep05,appr01,Purchase of materials
JV000025,1,2025-01-03,2025-01-03 13:49:03,6602,Office supplies 办公费,709.76,,Finance,Jiayi Printing 嘉艺印务,prep01,appr03,Office supplies
JV000025,2,2025-01-03,2025-01-03 13:49:03,1002,Bank deposits 银行存款,,709.76,Finance,Jiayi Printing 嘉艺印务,prep01,appr03,Office supplies
JV000026,1,2025-01-03,2025-01-03 14:21:13,6601,Travel expense 差旅费,2039.84,,Sales,Yunfan Ticketing 云帆票务,prep05,appr01,Business travel
JV000026,2,2025-01-03,2025-01-03 14:21:13,1002,Bank deposits 银行存款,,2039.84,Sales,Yunfan Ticketing 云帆票务,prep05,appr01,Business travel
JV000027,1,2025-01-03,2025-01-03 14:55:00,6603,Entertainment 业务招待费,2022.08,,Production,Songhe Tea House 松鹤茶楼,prep01,appr02,Client meal
JV000027,2,2025-01-03,2025-01-03 14:55:00,1002,Bank deposits 银行存款,,2022.08,Production,Songhe Tea House 松鹤茶楼,prep01,appr02,Client meal
JV000028,1,2025-01-03,2025-01-03 15:41:12,6601,Travel expense 差旅费,1049.86,,Sales,Yunfan Ticketing 云帆票务,prep02,appr03,Business travel
JV000028,2,2025-01-03,2025-01-03 15:41:12,1002,Bank deposits 银行存款,,1049.86,Sales,Yunfan Ticketing 云帆票务,prep02,appr03,Business travel
JV000029,1,2025-01-03,2025-01-03 17:45:48,1405,Inventory 库存商品,9800.49,,Production,Hongyu Electronics 鸿宇电子,prep05,appr02,Purchase of materials
JV000029,2,2025-01-03,2025-01-03 17:45:48,222101,Input VAT 应交增值税-进项税额,1274.06,,Production,Hongyu Electronics 鸿宇电子,prep05,appr02,Purchase of materials
JV000029,3,2025-01-03,2025-01-03 17:45:48,2202,Accounts payable 应付账款,,11074.55,Production,Hongyu Electronics 鸿宇电子,prep05,appr02,Purchase of materials
JV000030,1,2025-01-03,2025-01-03 17:53:11,1405,Inventory 库存商品,9843.30,,Production,Tianrui Materials 天瑞物资,prep04,appr02,Purchase of materials
JV000030,2,2025-01-03,2025-01-03 17:53:11,222101,Input VAT 应交增值税-进项税额,1279.63,,Production,Tianrui Materials 天瑞物资,prep04,appr02,Purchase of materials
JV000030,3,2025-01-03,2025-01-03 17:53:11,2202,Accounts payable 应付账款,,11122.93,Production,Tianrui Materials 天瑞物资,prep04,appr02,Purchase of materials
JV000031,1,2025-01-03,2025-01-03 18:08:28,6611,Advertising 广告宣传费,14520.89,,Sales,Xingchen Advertising 星辰广告,prep01,appr02,Advertising services
JV000031,2,2025-01-03,2025-01-03 18:08:28,222101,Input VAT 应交增值税-进项税额,871.25,,Sales,Xingchen Advertising 星辰广告,prep01,appr02,Advertising services
JV000031,3,2025-01-03,2025-01-03 18:08:28,2202,Accounts payable 应付账款,,15392.14,Sales,Xingchen Advertising 星辰广告,prep01,appr02,Advertising services
JV000032,1,2025-01-03,2025-01-06 12:36:55,1405,Inventory 库存商品,2148.51,,Production,Ruifeng Components 瑞丰元件,prep05,appr02,Purchase of materials
JV000032,2,2025-01-03,2025-01-06 12:36:55,222101,Input VAT 应交增值税-进项税额,279.31,,Production,Ruifeng Components 瑞丰元件,prep05,appr02,Purchase of materials
JV000032,3,2025-01-03,2025-01-06 12:36:55,2202,Accounts payable 应付账款,,2427.82,Production,Ruifeng Components 瑞丰元件,prep05,appr02,Purchase of materials
JV000033,1,2025-01-03,2025-01-06 13:31:58,6601,Travel expense 差旅费,3244.45,,IT,Jietu Travel Service 捷途旅行社,prep02,appr02,Business travel
JV000033,2,2025-01-03,2025-01-06 13:31:58,1002,Bank deposits 银行存款,,3244.45,IT,Jietu Travel Service 捷途旅行社,prep02,appr02,Business travel
JV000034,1,2025-01-03,2025-01-06 16:15:23,1405,Inventory 库存商品,6533.68,,Production,Yongsheng Chemicals 永盛化工,prep05,appr02,Purchase of materials
JV000034,2,2025-01-03,2025-01-06 16:15:23,222101,Input VAT 应交增值税-进项税额,849.38,,Production,Yongsheng Chemicals 永盛化工,prep05,appr02,Purchase of materials
JV000034,3,2025-01-03,2025-01-06 16:15:23,2202,Accounts payable 应付账款,,7383.06,Production,Yongsheng Chemicals 永盛化工,prep05,appr02,Purchase of materials
JV000035,1,2025-01-03,2025-01-06 18:06:03,1405,Inventory 库存商品,3030.79,,Production,Hongyu Electronics 鸿宇电子,prep03,appr01,Purchase of materials
JV000035,2,2025-01-03,2025-01-06 18:06:03,222101,Input VAT 应交增值税-进项税额,394.00,,Production,Hongyu Electronics 鸿宇电子,prep03,appr01,Purchase of materials
JV000035,3,2025-01-03,2025-01-06 18:06:03,2202,Accounts payable 应付账款,,3424.79,Production,Hongyu Electronics 鸿宇电子,prep03,appr01,Purchase of materials
JV000036,1,2025-01-03,2025-01-07 13:45:29,1405,Inventory 库存商品,6620.08,,Production,Jiahe Packaging 嘉禾包装,prep02,appr01,Purchase of materials
JV000036,2,2025-01-03,2025-01-07 13:45:29,222101,Input VAT 应交增值税-进项税额,860.61,,Production,Jiahe Packaging 嘉禾包装,prep02,appr01,Purchase of materials
JV000036,3,2025-01-03,2025-01-07 13:45:29,2202,Accounts payable 应付账款,,7480.69,Production,Jiahe Packaging 嘉禾包装,prep02,appr01,Purchase of materials
JV000037,1,2025-01-03,2025-01-07 14:18:40,1122,Accounts receivable 应收账款,140449.78,,Sales,,prep05,appr02,Sales invoice
JV000037,2,2025-01-03,2025-01-07 14:18:40,6001,Sales revenue 主营业务收入,,124291.84,Sales,,prep05,appr02,Sales invoice
JV000037,3,2025-01-03,2025-01-07 14:18:40,222102,Output VAT 应交增值税-销项税额,,16157.94,Sales,,prep05,appr02,Sales invoice
JV000037,4,2025-01-03,2025-01-07 14:18:40,6401,Cost of sales 主营业务成本,74510.37,,Sales,,prep05,appr02,Sales invoice
JV000037,5,2025-01-03,2025-01-07 14:18:40,1405,Inventory 库存商品,,74510.37,Sales,,prep05,appr02,Sales invoice
JV000038,1,2025-01-05,2025-01-05 09:45:00,6609,Repairs and maintenance 修理费,2134.16,,Production,Anjie Equipment Repair 安捷设备维修,prep04,appr01,Repair services
JV000038,2,2025-01-05,2025-01-05 09:45:00,222101,Input VAT 应交增值税-进项税额,277.44,,Production,Anjie Equipment Repair 安捷设备维修,prep04,appr01,Repair services
JV000038,3,2025-01-05,2025-01-05 09:45:00,2202,Accounts payable 应付账款,,2411.60,Production,Anjie Equipment Repair 安捷设备维修,prep04,appr01,Repair services
JV000039,1,2025-01-06,2025-01-06 09:45:54,1405,Inventory 库存商品,28321.52,,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000039,2,2025-01-06,2025-01-06 09:45:54,222101,Input VAT 应交增值税-进项税额,3681.80,,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000039,3,2025-01-06,2025-01-06 09:45:54,2202,Accounts payable 应付账款,,32003.32,Production,Tianrui Materials 天瑞物资,prep03,appr03,Purchase of materials
JV000040,1,2025-01-06,2025-01-06 10:02:48,1405,Inventory 库存商品,8442.75,,Production,Kangda Metals 康达金属,prep02,appr03,Purchase of materials
JV000040,2,2025-01-06,2025-01-06 10:02:48,222101,Input VAT 应交增值税-进项税额,1097.56,,Production,Kangda Metals 康达金属,prep02,appr03,Purchase of materials
JV000040,3,2025-01-06,2025-01-06 10:02:48,2202,Accounts payable 应付账款,,9540.31,Production,Kangda Metals 康达金属,prep02,appr03,Purchase of materials
JV000041,1,2025-01-06,2025-01-06 11:58:43,1405,Inventory 库存商品,5233.92,,Production,Huamei Textiles 华美纺织,prep03,appr03,Purchase of materials
JV000041,2,2025-01-06,2025-01-06 11:58:43,222101,Input VAT 应交增值税-进项税额,680.41,,Production,Huamei Textiles 华美纺织,prep03,appr03,Purchase of materials
JV000041,3,2025-01-06,2025-01-06 11:58:43,2202,Accounts payable 应付账款,,5914.33,Production,Huamei Textiles 华美纺织,prep03,appr03,Purchase of materials
JV000042,1,2025-01-06,2025-01-06 12:07:46,1405,Inventory 库存商品,1573.78,,Production,Hongyu Electronics 鸿宇电子,prep02,appr02,Purchase of materials
JV000042,2,2025-01-06,2025-01-06 12:07:46,222101,Input VAT 应交增值税-进项税额,204.59,,Production,Hongyu Electronics 鸿宇电子,prep02,appr02,Purchase of materials
JV000042,3,2025-01-06,2025-01-06 12:07:46,2202,Accounts payable 应付账款,,1778.37,Production,Hongyu Electronics 鸿宇电子,prep02,appr02,Purchase of materials
JV000043,1,2025-01-06,2025-01-06 12:41:50,6603,Entertainment 业务招待费,1110.96,,Production,Songhe Tea House 松鹤茶楼,prep03,appr01,Client meal
JV000043,2,2025-01-06,2025-01-06 12:41:50,1002,Bank deposits 银行存款,,1110.96,Production,Songhe Tea House 松鹤茶楼,prep03,appr01,Client meal
JV000044,1,2025-01-06,2025-01-06 12:42:22,6603,Entertainment 业务招待费,2942.20,,Finance,Songhe Tea House 松鹤茶楼,prep05,appr01,Client meal
JV000044,2,2025-01-06,2025-01-06 12:42:22,1002,Bank deposits 银行存款,,2942.20,Finance,Songhe Tea House 松鹤茶楼,prep05,appr01,Client meal
JV000045,1,2025-01-06,2025-01-06 14:40:43,1405,Inventory 库存商品,8717.83,,Production,Huamei Textiles 华美纺织,prep03,appr01,Purchase of materials
JV000045,2,2025-01-06,2025-01-06 14:40:43,222101,Input VAT 应交增值税-进项税额,1133.32,,Production,Huamei Textiles 华美纺织,prep03,appr01,Purchase of materials
JV000045,3,2025-01-06,2025-01-06 14:40:43,2202,Accounts payable 应付账款,,9851.15,Production,Huamei Textiles 华美纺织,prep03,appr01,Purchase of materials
JV000046,1,2025-01-06,2025-01-06 14:46:39,1122,Accounts receivable 应收账款,49917.51,,Sales,,prep01,appr02,Sales invoice
JV000046,2,2025-01-06,2025-01-06 14:46:39,6001,Sales revenue 主营业务收入,,44174.79,Sales,,prep01,appr02,Sales invoice
JV000046,3,2025-01-06,2025-01-06 14:46:39,222102,Output VAT 应交增值税-销项税额,,5742.72,Sales,,prep01,appr02,Sales invoice
JV000046,4,2025-01-06,2025-01-06 14:46:39,6401,Cost of sales 主营业务成本,27734.20,,Sales,,prep01,appr02,Sales invoice
JV000046,5,2025-01-06,2025-01-06 14:46:39,1405,Inventory 库存商品,,27734.20,Sales,,prep01,appr02,Sales invoice
JV000047,1,2025-01-06,2025-01-06 16:04:14,6602,Office supplies 办公费,530.55,,Production,Jiayi Printing 嘉艺印务,prep03,appr03,Office supplies
JV000047,2,2025-01-06,2025-01-06 16:04:14,1002,Bank deposits 银行存款,,530.55,Production,Jiayi Printing 嘉艺印务,prep03,appr03,Office supplies
JV000048,1,2025-01-06,2025-01-06 16:35:17,6604,Rent expense 租赁费,60000.00,,Admin,Hengtai Property 恒泰物业,prep03,appr03,Office rent 2025-01
JV000048,2,2025-01-06,2025-01-06 16:35:17,1002,Bank deposits 银行存款,,60000.00,Admin,Hengtai Property 恒泰物业,prep03,appr03,Office rent 2025-01
JV000049,1,2025-01-06,2025-01-06 16:56:54,1405,Inventory 库存商品,3438.39,,Production,Hongyu Electronics 鸿宇电子,prep01,appr01,Purchase of materials
JV000049,2,2025-01-06,2025-01-06 16:56:54,222101,Input VAT 应交增值税-进项税额,446.99,,Production,Hongyu Electronics 鸿宇电子,prep01,appr01,Purchase of materials
JV000049,3,2025-01-06,2025-01-06 16:56:54,2202,Accounts payable 应付账款,,3885.38,Production,Hongyu Electronics 鸿宇电子,prep01,appr01,Purchase of materials
JV000050,1,2025-01-06,2025-01-06 17:15:37,1122,Accounts receivable 应收账款,74118.80,,Sales,,prep04,appr01,Sales invoice
JV000050,2,2025-01-06,2025-01-06 17:15:37,6001,Sales revenue 主营业务收入,,65591.86,Sales,,prep04,appr01,Sales invoice
JV000050,3,2025-01-06,2025-01-06 17:15:37,222102,Output VAT 应交增值税-销项税额,,8526.94,Sales,,prep04,appr01,Sales invoice
JV000050,4,2025-01-06,2025-01-06 17:15:37,6401,Cost of sales 主营业务成本,36517.39,,Sales,,prep04,appr01,Sales invoice
JV000050,5,2025-01-06,2025-01-06 17:15:37,1405,Inventory 库存商品,,36517.39,Sales,,prep04,appr01,Sales invoice
JV000051,1,2025-01-06,2025-01-06 17:58:04,1405,Inventory 库存商品,9355.80,,Production,Tianrui Materials 天瑞物资,prep03,appr01,Purchase of materials
JV000051,2,2025-01-06,2025-01-06 17:58:04,222101,Input VAT 应交增值税-进项税额,1216.25,,Production,Tianrui Materials 天瑞物资,prep03,appr01,Purchase of materials
JV000051,3,2025-01-06,2025-01-06 17:58:04,2202,Accounts payable 应付账款,,10572.05,Production,Tianrui Materials 天瑞物资,prep03,appr01,Purchase of materials
JV000052,1,2025-01-06,2025-01-07 12:19:37,1122,Accounts receivable 应收账款,63243.13,,Sales,,prep05,appr02,Sales invoice
JV000052,2,2025-01-06,2025-01-07 12:19:37,6001,Sales revenue 主营业务收入,,55967.37,Sales,,prep05,appr02,Sales invoice
JV000052,3,2025-01-06,2025-01-07 12:19:37,222102,Output VAT 应交增值税-销项税额,,7275.76,Sales,,prep05,appr02,Sales invoice
JV000052,4,2025-01-06,2025-01-07 12:19:37,6401,Cost of sales 主营业务成本,36336.77,,Sales,,prep05,appr02,Sales invoice
JV000052,5,2025-01-06,2025-01-07 12:19:37,1405,Inventory 库存商品,,36336.77,Sales,,prep05,appr02,Sales invoice
JV000053,1,2025-01-06,2025-01-07 12:41:17,6602,Office supplies 办公费,920.54,,Production,Huaxin Office Supplies 华信办公用品,prep05,appr03,Office supplies
JV000053,2,2025-01-06,2025-01-07 12:41:17,1002,Bank deposits 银行存款,,920.54,Production,Huaxin Office Supplies 华信办公用品,prep05,appr03,Office supplies
JV000054,1,2025-01-06,2025-01-07 14:41:22,1122,Accounts receivable 应收账款,163822.34,,Sales,,prep02,appr01,Sales invoice
JV000054,2,2025-01-06,2025-01-07 14:41:22,6001,Sales revenue 主营业务收入,,144975.52,Sales,,prep02,appr01,Sales invoice
JV000054,3,2025-01-06,2025-01-07 14:41:22,222102,Output VAT 应交增值税-销项税额,,18846.82,Sales,,prep02,appr01,Sales invoice
JV000054,4,2025-01-06,2025-01-07 14:41:22,6401,Cost of sales 主营业务成本,99108.00,,Sales,,prep02,appr01,Sales invoice
JV000054,5,2025-01-06,2025-01-07 14:41:22,1405,Inventory 库存商品,,99108.00,Sales,,prep02,appr01,Sales invoice
JV000055,1,2025-01-06,2025-01-07 16:59:30,1405,Inventory 库存商品,4560.55,,Production,Ruifeng Components 瑞丰元件,prep01,appr03,Purchase of materials
JV000055,2,2025-01-06,2025-01-07 16:59:30,222101,Input VAT 应交增值税-进项税额,592.87,,Production,Ruifeng Components 瑞丰元件,prep01,appr03,Purchase of materials
JV000055,3,2025-01-06,2025-01-07 16:59:30,2202,Accounts payable 应付账款,,5153.42,Production,Ruifeng Components 瑞丰元件,prep01,appr03,Purchase of materials
JV000056,1,2025-01-06,2025-01-08 14:35:16,1122,Accounts receivable 应收账款,23000.01,,Sales,,prep01,appr01,Sales invoice
JV000056,2,2025-01-06,2025-01-08 14:35:16,6001,Sales revenue 主营业务收入,,20353.99,Sales,,prep01,appr01,Sales invoice
JV000056,3,2025-01-06,2025-01-08 14:35:16,222102,Output VAT 应交增值税-销项税额,,2646.02,Sales,,prep01,appr01,Sales invoice
JV000056,4,2025-01-06,2025-01-08 14:35:16,6401,Cost of sales 主营业务成本,14224.51,,Sales,,prep01,appr01,Sales invoice
JV000056,5,2025-01-06,2025-01-08 14:35:16,1405,Inventory 库存商品,,14224.51,Sales,,prep01,appr01,Sales invoice
JV000057,1,2025-01-07,2025-01-07 09:27:09,1405,Inventory 库存商品,6974.95,,Production,Lianchuang Parts 联创配件,prep02,appr01,Purchase of materials
JV000057,2,2025-01-07,2025-01-07 09:27:09,222101,Input VAT 应交增值税-进项税额,906.74,,Production,Lianchuang Parts 联创配件,prep02,appr01,Purchase of materials
