bank_date,amount,counterparty,bank_ref
2025-01-11,-4112.38,Yunfan Ticketing 云帆票务,BR000029
2025-01-14,-1917.02,Yunfan Ticketing 云帆票务,BR000030
2025-01-14,-1898.54,Yunfan Ticketing 云帆票务,BR000031
2025-01-14,-1420.15,Huaxin Office Supplies 华信办公用品,BR000032
2025-01-14,-1390.76,Huaxin Office Supplies 华信办公用品,BR000033
2025-01-14,-963.24,Jietu Travel Service 捷途旅行社,BR000034
2025-01-14,-908.84,Jietu Travel Service 捷途旅行社,BR000035
2025-01-14,-652.67,Jiayi Printing 嘉艺印务,BR000036
2025-01-15,-14313.56,Donghu Water and Power 东湖水电,BR000037
2025-01-15,-2048.08,Jinyue Restaurant 金悦酒楼,BR000038
2025-01-15,-1421.36,Jietu Travel Service 捷途旅行社,BR000039
2025-01-15,-1202.60,Songhe Tea House 松鹤茶楼,BR000040
2025-01-15,-977.10,Yunfan Ticketing 云帆票务,BR000041
2025-01-16,-2879.04,Jietu Travel Service 捷途旅行社,BR000042
2025-01-16,-898.44,Jietu Travel Service 捷途旅行社,BR000043
2025-01-16,-774.91,Jinyue Restaurant 金悦酒楼,BR000044
2025-01-17,-1826.97,Yunfan Ticketing 云帆票务,BR000045
2025-01-17,-1146.34,Songhe Tea House 松鹤茶楼,BR000046
2025-01-17,-1048.56,Jiayi Printing 嘉艺印务,BR000047
2025-01-20,-1790.64,Jietu Travel Service 捷途旅行社,BR000048
2025-01-21,-3067.20,Yunfan Ticketing 云帆票务,BR000049
2025-01-22,-4272.86,Songhe Tea House 松鹤茶楼,BR000050
2025-01-22,-1244.88,Jietu Travel Service 捷途旅行社,BR000051
2025-01-23,-1472.25,Jinyue Restaurant 金悦酒楼,BR000052
2025-01-23,-1261.92,Yunfan Ticketing 云帆票务,BR000053
2025-01-23,-924.54,Huaxin Office Supplies 华信办公用品,BR000054
2025-01-24,-4255.14,Jietu Travel Service 捷途旅行社,BR000055
2025-01-24,-1929.94,Yunfan Ticketing 云帆票务,BR000056
2025-01-24,-1067.44,Songhe Tea House 松鹤茶楼,BR000057
2025-01-25,-5939.79,Jietu Travel Service 捷途旅行社,BR000058
2025-01-25,-2121.20,Yunfan Ticketing 云帆票务,BR000059
2025-01-27,-181.72,Bank service charge 银行手续费,BR000060
2025-01-28,-1087.53,Jiayi Printing 嘉艺印务,BR000061
2025-01-29,-1209.84,Songhe Tea House 松鹤茶楼,BR000062
2025-01-29,-462.17,Huaxin Office Supplies 华信办公用品,BR000063
2025-02-04,63243.13,Minghui Manufacturing 明辉制造,BR000064
2025-02-05,-60000.00,Hengtai Property 恒泰物业,BR000065
2025-02-05,23000.01,Anping Hardware 安平五金,BR000066
2025-02-05,39242.97,Xinhe Distribution 信和分销,BR000067
2025-02-05,234777.08,Minghui Manufacturing 明辉制造,BR000068
2025-02-06,-3211.61,Yunfan Ticketing 云帆票务,BR000069
2025-02-06,-1546.76,Jietu Travel Service 捷途旅行社,BR000070
2025-02-06,28497.10,Shunfa Wholesale 顺发批发,BR000071
2025-02-06,54675.56,Anping Hardware 安平五金,BR000072
2025-02-06,65236.61,Yuanhang Technology 远航科技,BR000073
2025-02-07,-3423.49,Yunfan Ticketing 云帆票务,BR000074
2025-02-07,-2381.09,Jinyue Restaurant 金悦酒楼,BR000075
2025-02-07,-1254.54,Yunfan Ticketing 云帆票务,BR000076
2025-02-07,-1229.74,Jinyue Restaurant 金悦酒楼,BR000077
2025-02-07,-1009.10,Songhe Tea House 松鹤茶楼,BR000078
2025-02-07,22207.68,Yuanhang Technology 远航科技,BR000079
2025-02-08,-48717.96,Kangda Metals 康达金属,BR000080
2025-02-08,-2210.63,Jinyue Restaurant 金悦酒楼,BR000081
2025-02-08,-1220.91,Huaxin Office Supplies 华信办公用品,BR000082
2025-02-08,-485.75,Jiayi Printing 嘉艺印务,BR000083
2025-02-08,-282.14,Jiayi Printing 嘉艺印务,BR000084
2025-02-09,-1972.98,Yunfan Ticketing 云帆票务,BR000085
2025-02-09,62491.66,Anping Hardware 安平五金,BR000086
2025-02-09,63407.01,Xinhe Distribution 信和分销,BR000087
2025-02-10,-2272.49,Jinyue Restaurant 金悦酒楼,BR000088
2025-02-10,-1466.12,Songhe Tea House 松鹤茶楼,BR000089
2025-02-10,71407.14,Guangyao Electric 光耀电器,BR000090
2025-02-11,-598270.77,Payroll batch 工资代发,BR000091
2025-02-11,-43358.54,Kangda Metals 康达金属,BR000092
2025-02-11,-4332.21,Jietu Travel Service 捷途旅行社,BR000093
2025-02-11,26774.32,Qinghe Foods 清禾食品,BR000094
2025-02-11,39843.61,Tongda Retail 通达零售,BR000095
2025-02-12,-2603.97,Jietu Travel Service 捷途旅行社,BR000096
2025-02-12,-2436.13,Jietu Travel Service 捷途旅行社,BR000097
2025-02-12,28428.66,Qinghe Foods 清禾食品,BR000098
2025-02-12,43748.64,Shunfa Wholesale 顺发批发,BR000099
2025-02-12,48258.36,Tongda Retail 通达零售,BR000100
2025-02-12,74553.20,Anping Hardware 安平五金,BR000101
2025-02-12,139900.12,Guangyao Electric 光耀电器,BR000102
2025-02-13,-1571.96,Songhe Tea House 松鹤茶楼,BR000103
2025-02-13,-1031.38,Huaxin Office Supplies 华信办公用品,BR000104
2025-02-13,-642.02,Huaxin Office Supplies 华信办公用品,BR000105
2025-02-13,71059.06,Jinhai Industrial 金海实业,BR000106
2025-02-14,-44167.61,Kangda Metals 康达金属,BR000107
2025-02-14,-2436.94,Jietu Travel Service 捷途旅行社,BR000108
2025-02-14,-1485.70,Songhe Tea House 松鹤茶楼,BR000109
2025-02-14,-937.08,Yunfan Ticketing 云帆票务,BR000110
2025-02-14,-754.13,Jietu Travel Service 捷途旅行社,BR000111
2025-02-14,-392.97,Huaxin Office Supplies 华信办公用品,BR000112
2025-02-14,15993.92,Shunfa Wholesale 顺发批发,BR000113
2025-02-15,-2960.81,Yunfan Ticketing 云帆票务,BR000114
2025-02-15,-2201.75,Yunfan Ticketing 云帆票务,BR000115
2025-02-15,-809.58,Songhe Tea House 松鹤茶楼,BR000116
2025-02-16,-2348.68,Jinyue Restaurant 金悦酒楼,BR000117
2025-02-16,-1751.23,Jinyue Restaurant 金悦酒楼,BR000118
2025-02-16,-1606.53,Songhe Tea House 松鹤茶楼,BR000119
2025-02-17,29884.58,Jinhai Industrial 金海实业,BR000120
2025-02-17,140449.78,Tongda Retail 通达零售,BR000121
2025-02-18,-6066.17,Jietu Travel Service 捷途旅行社,BR000122
2025-02-18,-2521.07,Jinyue Restaurant 金悦酒楼,BR000123
2025-02-18,-2105.80,Songhe Tea House 松鹤茶楼,BR000124
2025-02-18,-1852.42,Songhe Tea House 松鹤茶楼,BR000125
2025-02-18,-1570.80,Yunfan Ticketing 云帆票务,BR000126
2025-02-18,-1068.43,Huaxin Office Supplies 华信办公用品,BR000127
2025-02-18,-702.93,Jiayi Printing 嘉艺印务,BR000128
2025-02-18,-530.99,Huaxin Office Supplies 华信办公用品,BR000129
2025-02-18,81447.82,Fuyuan Supermarkets 富源超市,BR000130
2025-02-18,163822.34,Tongda Retail 通达零售,BR000131
2025-02-19,-1757.51,Yunfan Ticketing 云帆票务,BR000132
2025-02-19,-1311.08,Jietu Travel Service 捷途旅行社,BR000133
2025-02-19,-1161.52,Jinyue Restaurant 金悦酒楼,BR000134
2025-02-19,-985.78,Yunfan Ticketing 云帆票务,BR000135
2025-02-19,50229.84,Fuyuan Supermarkets 富源超市,BR000136
2025-02-19,190892.70,Anping Hardware 安平五金,BR000137
2025-02-20,-11214.78,Donghu Water and Power 东湖水电,BR000138
2025-02-20,-2517.84,Songhe Tea House 松鹤茶楼,BR000139
2025-02-20,-1356.58,Jinyue Restaurant 金悦酒楼,BR000140
2025-02-20,-1018.03,Jietu Travel Service 捷途旅行社,BR000141
2025-02-20,-517.50,Jiayi Printing 嘉艺印务,BR000142
2025-02-20,-272.22,Jiayi Printing 嘉艺印务,BR000143
2025-02-20,66104.02,Minghui Manufacturing 明辉制造,BR000144
2025-02-21,-2362.63,Jietu Travel Service 捷途旅行社,BR000145
2025-02-21,24772.73,Minghui Manufacturing 明辉制造,BR000146
2025-02-21,124863.19,Shunfa Wholesale 顺发批发,BR000147
2025-02-21,154822.72,Jinhai Industrial 金海实业,BR000148
2025-02-22,-6491.04,Jietu Travel Service 捷途旅行社,BR000149
2025-02-22,-2907.82,Yunfan Ticketing 云帆票务,BR000150
2025-02-22,-2522.12,Jietu Travel Service 捷途旅行社,BR000151
2025-02-22,-1682.21,Yunfan Ticketing 云帆票务,BR000152
2025-02-23,-1112.11,Huaxin Office Supplies 华信办公用品,BR000153
2025-02-23,-1093.84,Huaxin Office Supplies 华信办公用品,BR000154
2025-02-23,45986.05,Tongda Retail 通达零售,BR000155
2025-02-23,98427.34,Xinhe Distribution 信和分销,BR000156
2025-02-23,152999.94,Anping Hardware 安平五金,BR000157
2025-02-23,201786.43,Guangyao Electric 光耀电器,BR000158
2025-02-24,29128.73,Longsheng Home 隆盛家居,BR000159
2025-02-24,41577.29,Minghui Manufacturing 明辉制造,BR000160
2025-02-24,49917.51,Qinghe Foods 清禾食品,BR000161
2025-02-24,141570.43,Anping Hardware 安平五金,BR000162
2025-02-25,-128567.97,Hongyu Electronics 鸿宇电子,BR000163
2025-02-25,-114713.86,Zhiyuan Consulting 智远咨询,BR000164
2025-02-25,-102522.79,Huamei Textiles 华美纺织,BR000165
2025-02-25,-99318.06,Ruifeng Components 瑞丰元件,BR000166
2025-02-25,-84432.27,Dingxin Steel 鼎鑫钢材,BR000167
2025-02-25,-35548.00,Wanli Facility Services 万里设施服务,BR000168
2025-02-25,-5321.52,Jietu Travel Service 捷途旅行社,BR000169
2025-02-25,-3167.15,Jietu Travel Service 捷途旅行社,BR000170
2025-02-25,-1504.17,Jietu Travel Service 捷途旅行社,BR000171
2025-02-25,-763.11,Jietu Travel Service 捷途旅行社,BR000172
2025-02-25,70104.76,Qinghe Foods 清禾食品,BR000173
2025-02-26,-177980.93,Lianchuang Parts 联创配件,BR000174
2025-02-26,-167672.22,Baocheng Plastics 宝成塑料,BR000175
2025-02-26,-149564.48,Fangzhou Exhibition 方舟会展,BR000176
2025-02-26,-122156.65,Qianfeng Tax Advisory 千峰税务咨询,BR000177
2025-02-26,-117460.15,Tianrui Materials 天瑞物资,BR000178
2025-02-26,-89446.16,Jiahe Packaging 嘉禾包装,BR000179
2025-02-26,-74451.24,Anjie Equipment Repair 安捷设备维修,BR000180
2025-02-26,-1918.35,Jinyue Restaurant 金悦酒楼,BR000181
2025-02-26,-1123.50,Jinyue Restaurant 金悦酒楼,BR000182
2025-02-27,-192490.64,Kangda Metals 康达金属,BR000183
2025-02-27,-111378.35,Yongsheng Chemicals 永盛化工,BR000184
2025-02-27,-1883.60,Songhe Tea House 松鹤茶楼,BR000185
2025-02-27,-1771.99,Jietu Travel Service 捷途旅行社,BR000186
2025-02-27,-1534.58,Jietu Travel Service 捷途旅行社,BR000187
2025-02-27,-1375.96,Jiayi Printing 嘉艺印务,BR000188
2025-02-27,-985.15,Jiayi Printing 嘉艺印务,BR000189
2025-02-27,168212.95,Xinhe Distribution 信和分销,BR000190
2025-02-28,-246045.26,Xingchen Advertising 星辰广告,BR000191
2025-02-28,-2198.39,Jietu Travel Service 捷途旅行社,BR000192
2025-02-28,-365.21,Bank service charge 银行手续费,BR000193
2025-02-28,31651.96,Qinghe Foods 清禾食品,BR000194
2025-02-28,37337.64,Fuyuan Supermarkets 富源超市,BR000195
2025-03-01,-3329.62,Jietu Travel Service 捷途旅行社,BR000196
2025-03-02,-3408.64,Yunfan Ticketing 云帆票务,BR000197
2025-03-02,-1959.18,Jinyue Restaurant 金悦酒楼,BR000198
2025-03-02,-1215.79,Songhe Tea House 松鹤茶楼,BR000199
2025-03-03,44894.27,Minghui Manufacturing 明辉制造,BR000200
2025-03-03,69396.94,Yuanhang Technology 远航科技,BR000201
2025-03-04,-1698.53,Jietu Travel Service 捷途旅行社,BR000202
2025-03-04,-1305.98,Huaxin Office Supplies 华信办公用品,BR000203
2025-03-04,-1190.05,Jinyue Restaurant 金悦酒楼,BR000204
2025-03-04,-447.95,Huaxin Office Supplies 华信办公用品,BR000205
2025-03-04,-357.88,Huaxin Office Supplies 华信办公用品,BR000206
2025-03-04,21792.42,Guangyao Electric 光耀电器,BR000207
2025-03-04,43470.40,Beichen Trading 北辰贸易,BR000208
2025-03-04,72787.97,Jinhai Industrial 金海实业,BR000209
2025-03-04,83275.87,Yuanhang Technology 远航科技,BR000210
2025-03-04,130272.21,Qinghe Foods 清禾食品,BR000211
2025-03-05,-2846.28,Yunfan Ticketing 云帆票务,BR000212
2025-03-05,-1950.34,Jiayi Printing 嘉艺印务,BR000213
2025-03-05,-1899.22,Yunfan Ticketing 云帆票务,BR000214
2025-03-05,-1758.36,Yunfan Ticketing 云帆票务,BR000215
2025-03-05,-1377.46,Songhe Tea House 松鹤茶楼,BR000216
2025-03-05,-784.93,Jinyue Restaurant 金悦酒楼,BR000217
2025-03-05,-782.20,Huaxin Office Supplies 华信办公用品,BR000218
2025-03-05,54676.30,Beichen Trading 北辰贸易,BR000219
2025-03-05,80866.09,Minghui Manufacturing 明辉制造,BR000220
2025-03-05,176254.51,Beichen Trading 北辰贸易,BR000221
2025-03-06,-60000.00,Hengtai Property 恒泰物业,BR000222
2025-03-06,-1876.01,Jinyue Restaurant 金悦酒楼,BR000223
2025-03-06,106881.12,Yuanhang Technology 远航科技,BR000224
2025-03-06,160731.41,Tongda Retail 通达零售,BR000225
2025-03-07,-5917.28,Jietu Travel Service 捷途旅行社,BR000226
2025-03-07,-2459.31,Songhe Tea House 松鹤茶楼,BR000227
2025-03-07,-2375.97,Songhe Tea House 松鹤茶楼,BR000228
2025-03-07,119466.01,Tongda Retail 通达零售,BR000229
2025-03-09,-2133.34,Songhe Tea House 松鹤茶楼,BR000230
2025-03-09,25853.43,Tongda Retail 通达零售,BR000231
2025-03-09,29659.90,Shunfa Wholesale 顺发批发,BR000232
2025-03-09,74118.80,Anping Hardware 安平五金,BR000233
2025-03-10,18163.24,Tongda Retail 通达零售,BR000234
2025-03-10,24039.98,Longsheng Home 隆盛家居,BR000235
2025-03-10,76174.86,Minghui Manufacturing 明辉制造,BR000236
2025-03-10,95195.06,Guangyao Electric 光耀电器,BR000237
2025-03-10,124556.91,Yuanhang Technology 远航科技,BR000238
2025-03-11,-592414.49,Payroll batch 工资代发,BR000239
2025-03-11,-2986.87,Huaxin Office Supplies 华信办公用品,BR000240
2025-03-11,-1593.01,Songhe Tea House 松鹤茶楼,BR000241
2025-03-11,-1017.84,Songhe Tea House 松鹤茶楼,BR000242
2025-03-11,-847.32,Jiayi Printing 嘉艺印务,BR000243
2025-03-11,19180.22,Qinghe Foods 清禾食品,BR000244
2025-03-11,148489.23,Guangyao Electric 光耀电器,BR000245
2025-03-12,48141.60,Jinhai Industrial 金海实业,BR000246
2025-03-12,65119.82,Beichen Trading 北辰贸易,BR000247
2025-03-12,66449.81,Xinhe Distribution 信和分销,BR000248
2025-03-12,102456.63,Fuyuan Supermarkets 富源超市,BR000249
2025-03-12,107819.06,Minghui Manufacturing 明辉制造,BR000250
2025-03-13,-4497.83,Yunfan Ticketing 云帆票务,BR000251
2025-03-13,-1074.85,Jinyue Restaurant 金悦酒楼,BR000252
2025-03-13,36097.14,Jinhai Industrial 金海实业,BR000253
2025-03-13,54167.16,Xinhe Distribution 信和分销,BR000254
2025-03-14,-47809.40,Jiahe Packaging 嘉禾包装,BR000255
2025-03-14,-1679.32,Jietu Travel Service 捷途旅行社,BR000256
2025-03-14,43165.23,Qinghe Foods 清禾食品,BR000257
2025-03-15,-47248.40,Jiahe Packaging 嘉禾包装,BR000258
2025-03-15,-1932.11,Jinyue Restaurant 金悦酒楼,BR000259
2025-03-15,-531.57,Jiayi Printing 嘉艺印务,BR000260
2025-03-16,26459.93,Minghui Manufacturing 明辉制造,BR000261
2025-03-16,48747.45,Guangyao Electric 光耀电器,BR000262
2025-03-16,48921.10,Tongda Retail 通达零售,BR000263
2025-03-17,-5734.63,Yunfan Ticketing 云帆票务,BR000264
2025-03-17,-2412.99,Jietu Travel Service 捷途旅行社,BR000265
2025-03-17,-1684.95,Jinyue Restaurant 金悦酒楼,BR000266
2025-03-17,27710.72,Anping Hardware 安平五金,BR000267
2025-03-17,30181.83,Fuyuan Supermarkets 富源超市,BR000268
2025-03-17,43764.49,Beichen Trading 北辰贸易,BR000269
2025-03-17,57323.51,Shunfa Wholesale 顺发批发,BR000270
2025-03-17,71018.84,Qinghe Foods 清禾食品,BR000271
2025-03-18,-42945.04,Jiahe Packaging 嘉禾包装,BR000272
2025-03-18,39990.16,Minghui Manufacturing 明辉制造,BR000273
2025-03-18,48140.96,Qinghe Foods 清禾食品,BR000274
2025-03-18,75641.75,Xinhe Distribution 信和分销,BR000275
2025-03-19,-9303.55,Donghu Water and Power 东湖水电,BR000276
2025-03-19,65474.32,Xinhe Distribution 信和分销,BR000277
2025-03-19,123503.96,Minghui Manufacturing 明辉制造,BR000278
2025-03-20,-4261.75,Yunfan Ticketing 云帆票务,BR000279
2025-03-20,-1944.15,Jinyue Restaurant 金悦酒楼,BR000280
2025-03-20,30912.19,Xinhe Distribution 信和分销,BR000281
2025-03-20,45186.07,Guangyao Electric 光耀电器,BR000282
2025-03-21,-3491.25,Yunfan Ticketing 云帆票务,BR000283
2025-03-21,-2524.63,Jinyue Restaurant 金悦酒楼,BR000284
2025-03-21,-1290.79,Jinyue Restaurant 金悦酒楼,BR000285
2025-03-21,-1287.81,Songhe Tea House 松鹤茶楼,BR000286
2025-03-21,66747.12,Shunfa Wholesale 顺发批发,BR000287
2025-03-22,-1251.97,Songhe Tea House 松鹤茶楼,BR000288
2025-03-23,60602.26,Jinhai Industrial 金海实业,BR000289
2025-03-24,18512.93,Xinhe Distribution 信和分销,BR000290
2025-03-24,20865.55,Minghui Manufacturing 明辉制造,BR000291
2025-03-24,43606.07,Tongda Retail 通达零售,BR000292
2025-03-24,55607.73,Jinhai Industrial 金海实业,BR000293
2025-03-24,56498.31,Beichen Trading 北辰贸易,BR000294
2025-03-24,64090.14,Tongda Retail 通达零售,BR000295
2025-03-24,95260.75,Tongda Retail 通达零售,BR000296
2025-03-24,112711.30,Xinhe Distribution 信和分销,BR000297
2025-03-25,-166880.98,Xingchen Advertising 星辰广告,BR000298
2025-03-25,-130409.41,Baocheng Plastics 宝成塑料,BR000299
2025-03-25,-19001.43,Wanli Facility Services 万里设施服务,BR000300
2025-03-25,-6705.12,Jietu Travel Service 捷途旅行社,BR000301
2025-03-25,24643.84,Anping Hardware 安平五金,BR000302
2025-03-25,62627.59,Shunfa Wholesale 顺发批发,BR000303
2025-03-25,65898.73,Yuanhang Technology 远航科技,BR000304
2025-03-25,196289.25,Longsheng Home 隆盛家居,BR000305
2025-03-26,-192637.26,Lianchuang Parts 联创配件,BR000306
2025-03-26,-189531.53,Jiahe Packaging 嘉禾包装,BR000307
2025-03-26,-133457.10,Hongyu Electronics 鸿宇电子,BR000308
2025-03-26,-122401.96,Zhiyuan Consulting 智远咨询,BR000309
2025-03-26,-110603.97,Dingxin Steel 鼎鑫钢材,BR000310
2025-03-26,-103467.90,Tianrui Materials 天瑞物资,BR000311
2025-03-26,-86694.83,Yongsheng Chemicals 永盛化工,BR000312
2025-03-26,-23397.89,Jiahe Packaging 嘉禾包装,BR000313
2025-03-26,-1799.09,Jietu Travel Service 捷途旅行社,BR000314
2025-03-26,-844.15,Huaxin Office Supplies 华信办公用品,BR000315
2025-03-26,23143.54,Beichen Trading 北辰贸易,BR000316
2025-03-26,31471.88,Yuanhang Technology 远航科技,BR000317
2025-03-26,36630.85,Fuyuan Supermarkets 富源超市,BR000318
2025-03-26,71615.57,Guangyao Electric 光耀电器,BR000319
2025-03-26,106179.60,Guangyao Electric 光耀电器,BR000320
2025-03-26,188338.95,Longsheng Home 隆盛家居,BR000321
2025-03-27,-148806.22,Qianfeng Tax Advisory 千峰税务咨询,BR000322
2025-03-27,-123401.74,Kangda Metals 康达金属,BR000323
2025-03-27,-110279.34,Ruifeng Components 瑞丰元件,BR000324
2025-03-27,-100263.35,Huamei Textiles 华美纺织,BR000325
2025-03-27,-1288.31,Jinyue Restaurant 金悦酒楼,BR000326
2025-03-27,-1016.84,Jiayi Printing 嘉艺印务,BR000327
2025-03-27,-869.02,Jiayi Printing 嘉艺印务,BR000328
2025-03-27,-531.32,Jiayi Printing 嘉艺印务,BR000329
2025-03-27,-480.29,Yunfan Ticketing 云帆票务,BR000330
2025-03-27,54187.15,Guangyao Electric 光耀电器,BR000331
2025-03-28,-46495.45,Anjie Equipment Repair 安捷设备维修,BR000332
2025-03-28,-25015.02,Fangzhou Exhibition 方舟会展,BR000333
2025-03-28,-2597.83,Yunfan Ticketing 云帆票务,BR000334
2025-03-28,-2465.11,Jietu Travel Service 捷途旅行社,BR000335
2025-03-28,-1899.07,Jinyue Restaurant 金悦酒楼,BR000336
2025-03-28,-1791.07,Huaxin Office Supplies 华信办公用品,BR000337
2025-03-28,-1495.71,Jinyue Restaurant 金悦酒楼,BR000338
2025-03-28,-1394.27,Jinyue Restaurant 金悦酒楼,BR000339
2025-03-28,-806.75,Songhe Tea House 松鹤茶楼,BR000340
2025-03-28,71965.47,Tongda Retail 通达零售,BR000341
2025-03-28,81355.81,Tongda Retail 通达零售,BR000342
2025-03-29,-2052.25,Yunfan Ticketing 云帆票务,BR000343
2025-03-29,-577.62,Jiayi Printing 嘉艺印务,BR000344
2025-03-30,-4712.85,Songhe Tea House 松鹤茶楼,BR000345
2025-03-30,47056.99,Guangyao Electric 光耀电器,BR000346
2025-03-30,50810.83,Anping Hardware 安平五金,BR000347
2025-03-30,54064.38,Guangyao Electric 光耀电器,BR000348
2025-03-31,-1593.64,Songhe Tea House 松鹤茶楼,BR000349
2025-03-31,-399.62,Bank service charge 银行手续费,BR000350
2025-03-31,16647.75,Tongda Retail 通达零售,BR000351
2025-03-31,68191.88,Longsheng Home 隆盛家居,BR000352
2025-03-31,93444.69,Jinhai Industrial 金海实业,BR000353
2025-03-31,128164.32,Jinhai Industrial 金海实业,BR000354
2025-04-01,-2391.71,Songhe Tea House 松鹤茶楼,BR000355
2025-04-01,-1342.21,Jietu Travel Service 捷途旅行社,BR000356
2025-04-01,41217.39,Minghui Manufacturing 明辉制造,BR000357
2025-04-01,42026.98,Tongda Retail 通达零售,BR000358
2025-04-01,57551.58,Tongda Retail 通达零售,BR000359
2025-04-01,64025.88,Qinghe Foods 清禾食品,BR000360
2025-04-01,74339.38,Tongda Retail 通达零售,BR000361
2025-04-01,82840.24,Yuanhang Technology 远航科技,BR000362
2025-04-02,-2242.41,Jietu Travel Service 捷途旅行社,BR000363
2025-04-02,-992.57,Jinyue Restaurant 金悦酒楼,BR000364
2025-04-03,-3530.53,Songhe Tea House 松鹤茶楼,BR000365
2025-04-03,-1352.86,Jinyue Restaurant 金悦酒楼,BR000366
2025-04-03,-1341.46,Huaxin Office Supplies 华信办公用品,BR000367
2025-04-03,-662.69,Huaxin Office Supplies 华信办公用品,BR000368
2025-04-03,43976.76,Yuanhang Technology 远航科技,BR000369
2025-04-04,-3350.20,Jietu Travel Service 捷途旅行社,BR000370
2025-04-04,-2259.14,Jietu Travel Service 捷途旅行社,BR000371
2025-04-04,-1038.22,Jinyue Restaurant 金悦酒楼,BR000372
2025-04-06,24065.52,Yuanhang Technology 远航科技,BR000373
2025-04-06,80011.54,Minghui Manufacturing 明辉制造,BR000374
2025-04-06,90849.49,Yuanhang Technology 远航科技,BR000375
2025-04-07,-3653.61,Yunfan Ticketing 云帆票务,BR000376
2025-04-07,-1492.41,Songhe Tea House 松鹤茶楼,BR000377
2025-04-07,25878.45,Guangyao Electric 光耀电器,BR000378
2025-04-07,45976.37,Qinghe Foods 清禾食品,BR000379
2025-04-07,94320.08,Xinhe Distribution 信和分销,BR000380
2025-04-07,96546.36,Shunfa Wholesale 顺发批发,BR000381
2025-04-07,135529.76,Qinghe Foods 清禾食品,BR000382
2025-04-08,-1607.76,Jietu Travel Service 捷途旅行社,BR000383
2025-04-08,-760.69,Huaxin Office Supplies 华信办公用品,BR000384
2025-04-08,43986.47,Yuanhang Technology 远航科技,BR000385
2025-04-09,-60000.00,Hengtai Property 恒泰物业,BR000386
2025-04-09,-1233.73,Jiayi Printing 嘉艺印务,BR000387
2025-04-09,27053.87,Minghui Manufacturing 明辉制造,BR000388
2025-04-09,43186.89,Minghui Manufacturing 明辉制造,BR000389
2025-04-09,45959.36,Longsheng Home 隆盛家居,BR000390
2025-04-09,57875.50,Fuyuan Supermarkets 富源超市,BR000391
2025-04-09,77438.21,Yuanhang Technology 远航科技,BR000392
2025-04-10,-5625.44,Jietu Travel Service 捷途旅行社,BR000393
2025-04-10,-3720.31,Yunfan Ticketing 云帆票务,BR000394
2025-04-10,-965.04,Huaxin Office Supplies 华信办公用品,BR000395
2025-04-10,-927.63,Jiayi Printing 嘉艺印务,BR000396
2025-04-10,44133.56,Fuyuan Supermarkets 富源超市,BR000397
2025-04-11,-1750.78,Songhe Tea House 松鹤茶楼,BR000398
2025-04-11,-958.09,Jietu Travel Service 捷途旅行社,BR000399
2025-04-11,-616.18,Jietu Travel Service 捷途旅行社,BR000400
2025-04-11,29899.60,Shunfa Wholesale 顺发批发,BR000401
2025-04-11,86175.28,Minghui Manufacturing 明辉制造,BR000402
2025-04-12,-601923.92,Payroll batch 工资代发,BR000403
2025-04-12,-10450.06,Yunfan Ticketing 云帆票务,BR000404
2025-04-12,-2942.93,Jinyue Restaurant 金悦酒楼,BR000405
2025-04-12,-2539.25,Yunfan Ticketing 云帆票务,BR000406
2025-04-12,-2425.26,Yunfan Ticketing 云帆票务,BR000407
