bank_ref,voucher_no,match_type
BR000622,JV002055,one_to_one
BR000623,JV002029,one_to_one
BR000624,JV002027,one_to_one
BR000625,JV002043,one_to_one
BR000626,JV002052,one_to_one
BR000627,JV002036,one_to_one
BR000628,JV002030,one_to_one
BR000629,JV002037,one_to_one
BR000630,JV002040,one_to_one
BR000631,JV002028,one_to_one
BR000632,JV002057,one_to_one
BR000633,JV002033,one_to_one
BR000634,JV002026,one_to_one
BR000635,JV002032,one_to_one
BR000636,JV002088,one_to_one
BR000637,JV002091,one_to_one
BR000638,JV002072,one_to_one
BR000639,JV002084,one_to_one
BR000640,JV002073,one_to_one
BR000641,JV002034,one_to_one
BR000642,JV002067,one_to_one
BR000643,JV002090,one_to_one
BR000644,JV002109,one_to_one
BR000645,JV002085,one_to_one
BR000646,JV002089,one_to_one
BR000647,JV002080,one_to_one
BR000648,JV002092,one_to_one
BR000649,JV002066,one_to_one
BR000650,JV002096,one_to_one
BR000651,JV002087,one_to_one
BR000652,JV002086,one_to_one
BR000653,JV002108,one_to_one
BR000654,JV002114,one_to_one
BR000655,JV002129,one_to_one
BR000656,JV002117,one_to_one
BR000657,JV002123,one_to_one
BR000658,JV002062,one_to_one
BR000659,JV002118,one_to_one
BR000660,JV002112,one_to_one
BR000661,JV002148,one_to_one
BR000662,JV002141,one_to_one
BR000663,JV002119,one_to_one
BR000664,JV002133,one_to_one
BR000665,JV002064,one_to_one
BR000666,JV002157,one_to_one
BR000667,JV002151,one_to_one
BR000668,JV002162,one_to_one
BR000669,JV002143,one_to_one
BR000670,JV002153,one_to_one
BR000671,JV002149,one_to_one
BR000672,JV002147,one_to_one
BR000673,JV002178,one_to_one
BR000674,JV002173,one_to_one
BR000675,JV002174,one_to_one
BR000676,JV002171,one_to_one
BR000677,JV002159,one_to_one
BR000678,JV002150,one_to_one
BR000679,JV002158,one_to_one
BR000680,JV002182,one_to_one
BR000681,JV002194,one_to_one
BR000682,JV002203,one_to_one
BR000683,JV002201,one_to_one
BR000684,JV002205,one_to_one
BR000685,JV002195,one_to_one
BR000686,JV002214,one_to_one
BR000687,JV002197,one_to_one
BR000688,JV002209,one_to_one
BR000689,JV002208,one_to_one
BR000690,JV002184,one_to_one
BR000691,JV002236,one_to_one
BR000692,JV002215,one_to_one
BR000693,JV002211,one_to_one
BR000694,JV002210,one_to_one
BR000695,JV002265,one_to_one
BR000696,JV002228,one_to_one
BR000697,JV002264,one_to_one
BR000698,JV002243,one_to_one
BR000699,JV002255,one_to_one
BR000700,JV002254,one_to_one
BR000701,JV002249,one_to_one
BR000702,JV002252,one_to_one
BR000703,JV002262,one_to_one
BR000704,JV002256,one_to_one
BR000705,JV002286,one_to_one
BR000706,JV002279,one_to_one
BR000707,JV002281,one_to_one
BR000708,JV002278,one_to_one
BR000709,JV002283,one_to_one
BR000710,JV002275,one_to_one
BR000711,JV002307,one_to_one
BR000712,JV002285,one_to_one
BR000713,JV002280,one_to_one
BR000714,JV002298,one_to_one
BR000715,JV002291,one_to_one
BR000716,JV002299,one_to_one
BR000717,JV002316,one_to_one
BR000718,JV002345,one_to_one
BR000719,JV002340,one_to_one
BR000720,JV002284,one_to_one
BR000721,JV002324,one_to_one
BR000722,JV002305,one_to_one
BR000723,JV002287,one_to_one
BR000724,JV002311,one_to_one
BR000725,JV002334,one_to_one
BR000726,JV002329,one_to_one
BR000727,JV002357,one_to_one
BR000728,JV002293,one_to_one
BR000729,JV002358,one_to_one
BR000730,JV002325,one_to_one
BR000731,JV002330,one_to_one
BR000732,JV002338,one_to_one
BR000733,JV002365,one_to_one
BR000734,JV002335,one_to_one
BR000735,JV002344,one_to_one
BR000736,JV002393,one_to_one
BR000737,JV002400,one_to_one
BR000738,JV002388,one_to_one
BR000739,JV002372,one_to_one
BR000740,JV002377,one_to_one
BR000741,JV002399,one_to_one
BR000742,JV002376,one_to_one
BR000743,JV002389,one_to_one
BR000744,JV002395,one_to_one
BR000745,JV002397,one_to_one
BR000746,JV002402,one_to_one
BR000747,JV002408,one_to_one
BR000748,JV002407,one_to_one
BR000749,JV002445,one_to_one
BR000750,JV002404,one_to_one
BR000751,JV002418,one_to_one
BR000752,JV002412,one_to_one
BR000753,JV002428,one_to_one
BR000754,JV002390,one_to_one
BR000755,JV002425,one_to_one
BR000756,JV002437,one_to_one
BR000757,JV002419,one_to_one
BR000758,JV002382,one_to_one
BR000759,JV002435,one_to_one
BR000760,JV002430,one_to_one
BR000761,JV002416,one_to_one
BR000762,JV002466,one_to_one
BR000763,JV002446,one_to_one
BR000764,JV002451,one_to_one
BR000765,JV002484,one_to_one
BR000766,JV002475,one_to_one
BR000767,JV002434,one_to_one
BR000768,JV002426,one_to_one
BR000769,JV002485,one_to_one
BR000770,JV002442,one_to_one
BR000771,JV002498,one_to_one
BR000772,JV002478,one_to_one
BR000773,JV002481,one_to_one
BR000774,JV002507,one_to_one
BR000775,JV002504,one_to_one
BR000776,JV002526,one_to_one
BR000777,JV002502,one_to_one
BR000778,JV002532,one_to_one
BR000779,JV002528,one_to_one
BR000780,JV002531,one_to_one
BR000781,JV002542,one_to_one
BR000782,JV002525,one_to_one
BR000783,JV002520,one_to_one
BR000784,JV002519,one_to_one
BR000785,JV002551,one_to_one
BR000786,JV002530,one_to_one
BR000787,JV002553,one_to_one
BR000788,JV002501,one_to_one
BR000789,JV002546,one_to_one
BR000790,JV002558,one_to_one
BR000791,JV002562,one_to_one
BR000792,JV002570,one_to_one
BR000793,JV002552,one_to_one
BR000794,JV002608,one_to_one
BR000795,JV002595,one_to_one
BR000796,JV002582,amount_difference
BR000797,JV002566,one_to_one
BR000798,JV002569,one_to_one
BR000799,JV002565,one_to_one
BR000800,JV002591,one_to_one
BR000801,JV002589,one_to_one
BR000802,JV002607,one_to_one
BR000803,JV002521,one_to_one
BR000804,JV002596,one_to_one
BR000805,JV002535,one_to_one
BR000806,JV002563,one_to_one
BR000807,JV002593,one_to_one
BR000808,JV002627,one_to_one
BR000809,JV002594,one_to_one
BR000810,JV002598,one_to_one
BR000811,JV002615,one_to_one
BR000812,JV002604,one_to_one
BR000813,JV002564,one_to_one
BR000814,JV002577,one_to_one
BR000815,JV002571,one_to_one
BR000816,JV002585,one_to_one
BR000817,JV002584,one_to_one
BR000818,JV002620,one_to_one
BR000819,JV002612,one_to_one
BR000820,JV002623,one_to_one
BR000821,JV002610,one_to_one
BR000822,JV002586,one_to_one
BR000823,JV002580,one_to_one
BR000824,JV002617,one_to_one
BR000825,JV002587,one_to_one
BR000826,JV002561,one_to_one
BR000827,JV002599,one_to_one
BR000828,JV002655,one_to_one
BR000829,JV002654,one_to_one
BR000830,JV002625,one_to_one
BR000831,JV002633,one_to_one
BR000832,JV002631,one_to_one
BR000833,JV002650,one_to_one
BR000834,JV002649,one_to_one
BR000835,JV002642,one_to_one
BR000836,JV002632,one_to_one
BR000837,JV002646,one_to_one
BR000838,JV002638,one_to_one
BR000839,JV002636,one_to_one
BR000840,JV002629,one_to_one
BR000841,JV002694,one_to_one
BR000842,JV002665,one_to_one
BR000843,JV002692,one_to_one
BR000844,JV002689,one_to_one
BR000845,JV002681,one_to_one
BR000846,JV002671,one_to_one
BR000847,JV002702,one_to_one
BR000848,JV002685,one_to_one
BR000849,JV002715,one_to_one
BR000850,JV002683,one_to_one
BR000851,JV002703,one_to_one
BR000852,JV002725,one_to_one
BR000853,JV002717,one_to_one
BR000854,JV002708,one_to_one
BR000855,JV002687,one_to_one
BR000856,JV002719,one_to_one
BR000857,JV002705,one_to_one
BR000858,JV002729,one_to_one
